name,lat,lon,address,phone
Bridgehead,45.407121,-75.713256,Bridgehead Roastery,NA
Bridgehead,45.431553,-75.69341,"224 Dalhousie Street (at Guigues Ave,)",1.613.562.9996
Bridgehead,45.417972,-75.702907,344 Slater St. (between Kent and Lyon),1.613.232.2010
Bridgehead,45.422829,-75.69745,96 Sparks St. (at Metcalfe St.),1.613.232.4936
Bridgehead,45.418985,-75.696717,150 Slater St. at O\'Connor,1.613.288.0397
Bridgehead,45.389825,-75.758345,440 Richmond Rd (at Golden),1.613.729.2100
Bridgehead,45.396665,-75.750691,317 McRae Ave (near Scott),1.613.729.6827
Bridgehead,45.41704,-75.689852,282 Elgin St. (at MacLaren St.),1.613.234.0002
Bridgehead,45.419924,-75.700196,109 Bank Street (at Albert),1.613.230.8548
Bridgehead,45.442087,-75.671965,131 Beechwood (in New Edinburgh),1.613.744.3735
Bridgehead,45.413935,-75.695291,366 Bank St. (at Gilmour),1.613.569.5600
Bridgehead,45.399291,-75.734516,1277 Wellington St. (at Caroline),1.613.725.5500
Bridgehead,45.404592,-75.723837,1024 Wellington St. (at Fairmont),1.613.288.0668
Bridgehead,45.403526,-75.688873,750 Bank St. (Second Ave),1.613.236.5445
Bridgehead,45.392289,-75.681988,1172 Bank St. (at Grove),1.613.731.3434
Bridgehead,45.348280,-75.788122,2745 Iris St. (at Greenbank),1.613.721.520334
Bridgehead,45.370774,-75.768674,2140 Carling Ave. (at Fairlawn Plaza),NA
Bridgehead,45.425075,-75.691271,50 Rideau St. (at Rideau Centre),NA
Bridgehead,45.420047,-75.692860,160 Elgin St. (at Place Bell),1.613.563.1731
Bridgehead,45.395977,-75.749590,317 McRae Ave. (at Scott),1.613.729.6827
Bridgehead,45.41254635970269,-75.63804999648029,830 Belfast Rd. (at Train Yards),1.613.244.0599
Bridgehead,45.384323,-75.6968725,1125 Colonel By Dr. (at Carleton),1.613.520.2600 ext. 5200
