name,address,lat,lon,phone
Pizza Pizza," 230 Elgin Street, Ottawa, ON, K2P1L7",45.418658,-75.691019,6137371111
Pizza Pizza," 673 Somerset Street West, Ottawa, ON, K1R6P3",45.41147,-75.705871,6137371111
Pizza Pizza," 336 Rideau Street, Ottawa, ON, K1N5Y5",45.429199,-75.684425,6137371111
Pizza Pizza," 933 Bank Street, Ottawa, ON, K1S3W5",45.399936,-75.686573,6137371111
Pizza Pizza," 1197 Wellington Street, Ottawa, ON, K1Y2Z8",45.400491,-75.7303,6137371111
Pizza Pizza,"E 320 McArthur Avenue, Ottawa, ON, K1L5G2",45.431595,-75.654439,6137371111
Pizza Pizza," 434 St Joseph Boulevard, Gatineau, QC, J8Y3Y7",45.447235,-75.7328,6137371111
Pizza Pizza," 1191 St Laurent Boulevard, Ottawa, ON, K1K3B7",45.423333,-75.636669,6137371111
Pizza Pizza," 123 Greber Blvd, Gatineau, QC, J8T3R1",45.467347,-75.700365,6137371111
Pizza Pizza," 1717 Bank Street, Ottawa, ON, K1S3Y2",45.374694,-75.665503,6137371111
Pizza Pizza," 2 Rue Georges-Bilodeau, Gatineau, QC, J8Z1V2",45.462342,-75.748276,6137371111
Pizza Pizza," 1910 St Laurent Boulevard, Ottawa, ON, K1G1A4",45.40003,-75.623969,6137371111
Pizza Pizza," 1779 Carling Avenue, Ottawa, ON, K2A1C9",45.377693,-75.753994,6137371111
Pizza Pizza," 1950 Montreal Road, Gloucester, ON, K1J6N2",45.447086,-75.600211,6137371111
Pizza Pizza,"7 381 Maloney Boulevard East, Gatineau, QC, J8P3L5",45.484647,-75.641487,6137371111
Pizza Pizza," 2515 Bank Street, Ottawa, ON, K1V8R9",45.353977,-75.644085,6137371111
Pizza Pizza,"560B 1642 Merivale Road, Nepean, ON, K2G4A1",45.345808,-75.730527,6137371111
Pizza Pizza," 2301 Navaho Drive, Ottawa, ON, K2G6Z1",45.35013,-75.75777,6137371111
Pizza Pizza," 1338 Richmond Road, Ottawa, ON, K2B8L4",45.366713,-75.787036,6137371111
Pizza Pizza," 210 Aylmer Road, Gatineau, QC, J9H1A2",45.39211,-75.849383,6137371111
Pizza Pizza," 1615 Orleans Boulevard, Gloucester, ON, K1C7E2",45.462046,-75.526355,6137371111
Pizza Pizza," 2369 St Joseph Boulevard, Orleans, ON, K1C2E3",45.469052,-75.529673,6137371111
Pizza Pizza," 1826 ROBERTSON ROAD, Nepean, ON, K2H5Z6",45.3279,-75.818922,6137371111
Pizza Pizza," 3171 Strandherd Drive, Barrhaven, ON, K2J5N1",45.275057,-75.721177,6137371111
Pizza Pizza," 1675 Tenth Line Road, Ottawa, ON, K1E3P6",45.467698,-75.491944,6137371111
Pizza Pizza," 50 Market Place Avenue, Barrhaven, ON, K2J5G3",45.27028,-75.74192,6137371111
Pizza Pizza," 1958 Portobello Boulevard, Orleans, ON, K4A4E7",45.463524,-75.464177,6137371111
Pizza Pizza," 420 Hazeldean Road, Ottawa, ON, K2L4B2",45.302681,-75.880086,6137371111
Pizza Pizza,"6A 300 Earl Grey Drive, Kanata, ON, K2T1B8",45.309969,-75.91222,6137371111
Pizza Pizza," 1160 Beaverwood Rd, Manotick, ON, K4M1A8",45.224138,-75.684514,6137371111
Pizza Pizza,"C-09 1250 Main Street East, Stittsville, ON, K2S1S9",45.268756,-75.930243,6137371111
