name,address,phone,lat,lng
Teriyaki Express,"1900 Eglinton Ave E, Scarborough, Ontario, Canada",(416) 759-4495,43.7271417,-79.2933295
Teriyaki Express,"240 Sparks Street, Ottawa, Ontario, Canada",613-800-0450,45.4201945,-75.7023187
Teriyaki Express,"148 West drive, Brampton, Ontario, Canada",(905) 460-8646,43.707978,-79.7334769
Teriyaki Express,"6000 North Terminal Pkwy, Unity US25, Atlanta, Georgia, , United States",,33.64002,-84.41958
Teriyaki Express,"Shop 101, Road #184, Block 410, Sanabis, , Bahrain",+973 17 533799,26.2295,50.53754
Teriyaki Express,"100 Bayshore Road, Nepean, Ontario, Canada",(613) 829-0092,45.3470236,-75.8068072
Teriyaki Express,"2227 Riverside Dr., Ottawa, Ontario, Canada",(613) 730-8181,45.3868641,-75.6790519
Teriyaki Express,"355 Hespler Road, Cambridge, Ontario, Canada",(519) 621-3861,43.393115,-80.3196776
Teriyaki Express,"#5 San Rafael de Escazu, Escazu, , Costa Rica",,9.9207,-84.14615
Teriyaki Express,"477 Paul Street, Dieppe, New Brunswick, Canada",(506) 855-4476,46.0960633,-64.7611085
Teriyaki Express,"960 Southdown Road, Mississauga, Ontario, Canada",(905) 822-1933,43.5093435,-79.6312356
Teriyaki Express,"3200 North Island Highway, Nanaimo, British Columbia, Canada",250 729 3622,49.2059104,-124.0052323
Teriyaki Express,"2 Bloor Street W., Toronto, Ontario, Canada",(416) 921-0811,43.6705059,-79.3871564
Teriyaki Express,"200-240 North Service Road West, Oakville, Ontario, Canada",(905) 338-7312,43.4460385,-79.7049161
Teriyaki Express,"Unit H05, Rd 6347, Blk 263, Bldg 4441, Diyar Al Murraq, , Bahrain",,26.25349,50.60826
Teriyaki Express,"5100 Erin Mills Pkwy., Mississauga, Ontario, Canada",(905)-466-1854,43.5583681,-79.7115283
Teriyaki Express,"1800 Sheppard Avenue East, Toronto, Ontario, Canada",(416) 998-6297,43.7778782,-79.3446538
Teriyaki Express,"Via Fumara No 7/16, Genoa, , Italy",,44.41234,8.88348
Teriyaki Express,"509 Bayfield St., Barrie, Ontario, Canada",(705)-721-8188,44.4131518,-79.7080192
Teriyaki Express,"815 Britannia Road West, Mississauga, Ontario, Canada",(905) 812-3233,43.610407,-79.698279
Teriyaki Express,"Shop 23, Bldg 19, Block 320, Hoora, , Bahrain",,26.23025,50.59706
Teriyaki Express,"555 University Ave., Toronto, Ontario, Canada",(416) 813 6754,43.657299,-79.3873968
Teriyaki Express,"205 Humber College Blvd. Building K, Etobicoke, Ontario, Canada",(416) 675-6655,43.7284177,-79.6073767
Teriyaki Express,"Building 161, Shop 4, Road 40, Block 324, Manama, , Bahrain",+973 17 811777,26.21961,50.60807
Teriyaki Express,"7077 Newman Boulevard, LaSalle, Quebec, Canada",(514) 363-4335,45.4479126,-73.6127113
Teriyaki Express,"3035 Boul. Le Carrefour, Ville de Laval, Quebec, Canada",(514) 619-5030,45.570538,-73.7522212
Teriyaki Express,"999 Upper Wentworth Street, Hamilton, Ontario, Canada",(905) 575-1942,43.2173505,-79.8619199
Teriyaki Express,"Bldg 166, Shop 68, Rd 3, Blk 109, Al Hidd Bahrain, , Bahrain",,26.23406,50.65203
Teriyaki Express,"Bldg 171, Shop 205, Rd 3306, Blk 933, Al Buhair , Bahrain, , Bahrain",,26.13687,50.56971
Teriyaki Express,"Al Barsha 1-Dubai, Road UMM Saquiem, Building Mall of the Emirates, Unit A14J, Dubai, , United Arab Emirates",,25.11812,55.20058
Teriyaki Express,"900 Maple Avenue, Burlington, Ontario, Canada",(905) 637-8088,43.3259299,-79.8199718
Teriyaki Express,"8601 Warden Avenue, Markham, Ontario, Canada",(905) 300-2288,43.8580377,-79.332717
Teriyaki Express,"101 College Street, Toronto, Ontario, Canada",(416) 591-1712,43.6597782,-79.3883154
Teriyaki Express,"1280 Main St. West, Hamilton, Ontario, Canada",(905) 525-9140,43.2622445,-79.9202861
Teriyaki Express,"6990 Financial Drive, Mississauga, Ontario, Canada",(905) 542-9800,43.610812,-79.7489863
Teriyaki Express,"45 Milner Ave., Scarborough, Ontario, Canada",(416) 335-9395,43.7830557,-79.252781
Teriyaki Express,"705 rue Ste. Catherine ouest, Montreal, Quebec, Canada",(514) 288-8228,45.5027545,-73.5714715
Teriyaki Express,"Bldg B12, Shop 00, Rd 01, Blk 202, Murarraq, , Bahrain",,26.25349,50.60826
Teriyaki Express,"Centro Comercial Multiplaza del Este, Curribadat, , Costa Rica",,9.91687,-84.04605
Teriyaki Express,"89 Park Place Blvd, Barrie, Ontario, Canada",416-890-8043,44.3373198,-79.6811419
Teriyaki Express,"Enfrente de Purdy Motor en Paseo Colon, San José, , Costa Rica",,9.93563,-84.09641
Teriyaki Express,"221 Glendale Ave, St. Catharines, Ontario, Canada",(905) 988 9287,43.1339308,-79.2233799
Teriyaki Express,"401 Labelle Blvd., Rosemere, Quebec, Canada",(450) 433-0008,45.6308075,-73.818603
Teriyaki Express,"2450 Boulevard Laurier, Ste-Foy, Quebec, Canada",(418) 656 0085,46.7735879,-71.2790953
Teriyaki Express,"Bldg 1723, Shop 2040, Rd 4041, blk 740, Al Ali Bahrain, , Bahrain",,26.23032,50.55271
Teriyaki Express,"1381 Regent Street, Fredericton, New Brunswick, Canada",(506) 459-9748,45.9353341,-66.6645805
Teriyaki Express,"3513 Wyecroft Road, Oakville, Ontario, Canada",(905) 825-5155,43.3957313,-79.7489922
Teriyaki Express,"2061 Steeles Avenue West, Toronto, Ontario, Canada",(416) 661-0555,43.7863804,-79.4727994
Teriyaki Express,"1055 West Georgia Street, Vancouver, British Columbia, Canada",(604) 689-8330,49.2853114,-123.121595
Teriyaki Express,"Block No 525, Avenue No 25, Shop 125, Saar, , Bahrain",,26.19787,50.49468
Teriyaki Express,"1301 - 16th Ave, N.W., Calgary, Alberta, Canada",403 284 7067,51.0663333,-114.0865588
Teriyaki Express,"Shop 7, Bldg 2206, Road 4566, Blk 745, Sanad, , Bahrain",973 17 624848,26.14553,50.57793
Teriyaki Express,"Radial Santa Ana, frente a Matra Local #3, Santa Ana, Costa Rica, , Costa Rica",,9.95152,-84.19031
Teriyaki Express,"Shop 1139, Building 2102, Road 2825, Blk 428, Al-Seef, , Bahrain",,26.23217,50.53629
Teriyaki Express,"Unit 2004, kRd 29, Blk 240, Bldg 154, Arad Bahrain, , Bahrain",,26.25336,50.63952
Teriyaki Express,"25 The West Mal, Etobicoke, Ontario, Canada",(416) 621-7043,43.6112889,-79.5568671
Teriyaki Express,"90 Edgeley Blvd, Vaughan, Ontario, Canada",(905) 761-1810,43.7966393,-79.5330762
Teriyaki Express,"5019 Spectrum Way, Mississauga, Ontario, Canada",(905) 282-0550,43.6499767,-79.6062278
Teriyaki Express,"8555 Campeau Drive, Ottawa, Ontario, Canada",(613) 435-1092,45.2977833,-75.936438
Teriyaki Express,"Calle Cristobal Colon, Barrio Abajo, Tegucigalpa, , Honduras",,14.06505,-87.1715
Teriyaki Express,"220 Yonge St., Toronto, Ontario, Canada",(416) 260-2988,43.6536106,-79.3800603
Teriyaki Express,"Bldg. 388, Road 7307, Block 373, Manama/Bu Ghazal, , Bahrain",,26.20298,50.57019
Teriyaki Express,"200 University Ave. West, Waterloo, Ontario, Canada",(519) 888-4567,43.4692268,-80.5403525
Teriyaki Express,"1421 Western Rd, Rm 130 - Lambton Hall, London, Ontario, Canada",(519) 661 3508,43.0134681,-81.2776529
Teriyaki Express,"17600 Yonge Street, Newmarket, Ontario, Canada",(905) 895-8688,44.0564573,-79.4847806
Teriyaki Express,"6150 Hwy 7, Woodbridge, Ontario, Canada",905-851-8988,43.7724041,-79.6248552
Teriyaki Express,"Shop 134-135, Bldg 1509, Rd 2835, Blk 928, Riffa, Wadi Al Sail, , Bahrain",,26.13692,50.51941
Teriyaki Express,"19705 Fraser Hwy., Langley, British Columbia, Canada",(604) 534-6682,49.1145265,-122.6749023
Teriyaki Express,"3000 Hwy #7 East, Markham, Ontario, Canada",(905) 948-8887,43.8505165,-79.3575256
Teriyaki Express,"7600 Weston Road, Woodbridge, Ontario, Canada",(905) 265-7388,43.7880977,-79.5488573
Teriyaki Express,"2300 Yonge St., Toronto, Ontario, Canada",(416) 322-8339,43.7072763,-79.3995622
Teriyaki Express,"4841 Yonge Street, North York, Ontario, Canada",(416) 901-1629,43.79567,-79.41947
Teriyaki Express,"861 York Mills Road, Toronto, Ontario, Canada",(416) 444-2005,43.7541991,-79.3513823
Teriyaki Express,"3401 Dufferin Street, North York, Ontario, Canada",(416) 792-5753,43.7256702,-79.452168
